run_num,dice,Avg Error,Avg FA rate,Avg MD rate
270,0.983615994,0.017684373,0.048024354,0.058710239
257,0.988557577,0.017573333,0.050260934,0.062748509
251,0.990283012,0.018659247,0.048583499,0.059766402
269,0.990398288,0.015589061,0.048459245,0.06610338
294,0.98515588,0.017691438,0.05013668,0.055479622
302,0.983130336,0.018290339,0.048272863,0.064985089
83,0.989946425,0.018098663,0.04901839,0.062872763
127,0.988364816,0.016746803,0.048024354,0.065109344
372,0.987898111,0.016494379,0.051006461,0.062251491
99,0.983806014,0.017124673,0.044172465,0.059145129
214,0.983567178,0.016641035,0.041998012,0.058026839
295,0.979340196,0.015854225,0.052870278,0.061940855
345,0.985755622,0.016622838,0.047713718,0.061443837
281,0.984274745,0.017637909,0.042184394,0.067780815
33,0.959239721,0.016264043,0.043302684,0.055479622
267,0.989948869,0.01722527,0.050757952,0.066165507
114,0.985933423,0.01622145,0.048459245,0.059828529
43,0.97678405,0.016882727,0.038456759,0.057964712
150,0.987172246,0.017400904,0.042308648,0.064053181
133,0.97264123,0.015980697,0.052683897,0.058399602
314,0.98138833,0.017003655,0.045290755,0.069582505
287,0.988736928,0.016969856,0.047092445,0.0631834
176,0.96030128,0.017919293,0.040879722,0.076043738
374,0.984894395,0.016590169,0.045166501,0.063866799
358,0.987529039,0.016949115,0.051627734,0.063494036
349,0.982651472,0.01683841,0.049826044,0.059331511
146,0.990743697,0.016582578,0.045912028,0.06653827
312,0.98040545,0.017176321,0.038394632,0.066911034
118,0.988456607,0.018631829,0.051503479,0.061195328
258,0.991261959,0.017693303,0.043178429,0.067345924
264,0.988494456,0.017952582,0.045104374,0.067283797
193,0.9848544,0.015883706,0.041128231,0.057902584
145,0.981549144,0.016610507,0.044483101,0.058648111
52,0.982418299,0.015581975,0.051317097,0.059517893
220,0.991642118,0.01732695,0.040444831,0.061568091
376,0.982287407,0.01714558,0.0472167,0.057654076
151,0.987683773,0.017403988,0.048148608,0.064488072
69,0.985104799,0.017071918,0.045601392,0.060822565
261,0.979462326,0.015321973,0.046843936,0.072253976
361,0.986750841,0.015835699,0.04945328,0.059642147
239,0.963419259,0.015728423,0.037276342,0.058710239
23,0.98624599,0.018017958,0.051689861,0.062375746
337,0.987966597,0.017847115,0.046595427,0.064985089
235,0.990748405,0.018411095,0.047713718,0.060636183
136,0.982953072,0.016609068,0.048397117,0.057467694
