run_num,model name,num epochs,epoch stop,batch size,learning rate,weight_decay,beta1,beta2,min lr,kernel size,max ch,norm ref,norm lambda,n heads,drop prob,n trans layers,attention type,loss_func,loss,loss_val,dice,loss SD,loss_val SD,dice SD,Avg Error,Avg FA rate,Avg MD rate,run time,eval run time
156,U_Net,120,120,64,0.0004399925977084,0.0077053856522817,0.732598979334721,0.9993019400248752,3.9625624045929435e-09,11,128,0.01,0,4,0.1,1,Mult,CrossEntropyLoss(),0.1461056470870971,0.1426382064819336,0.9576469659805298,0.0482703222560271,0.11123418401147,0.0301675300933924,0.0164046315398658,0.0395750497017892,0.062748508946322,1384.0736947059631,52.199381828308105
157,U_Net,120,120,64,7.392464414146648e-05,0.0129401824161582,0.7010412044724283,0.9908337557377468,3.306540263507247e-09,11,128,0.01,0,4,0.1,1,Mult,IoULoss(),0.1510331928730011,0.149701327085495,0.9343714714050292,0.0278220084564182,0.0366614070892775,0.0619652632318984,1.0,1.0,1.0,1375.939455986023,-1.0
158,U_Net,120,120,64,0.0002174940937754,2.318017624868491e-05,0.6080870902586808,0.9856832244193008,7.72196097341667e-10,11,128,0.01,0,4,0.1,1,Mult,CrossEntropyLoss(),0.0380167104303836,0.0341436713933944,0.9891703128814696,0.0446986563663112,0.0654746352856014,0.0164339403359132,0.0196240411138421,0.0485213717693836,0.0622514910536779,968.6062779426576,96.40941286087036
159,U_Net,120,120,64,0.0002071365229352,1.9120060726112085e-06,0.8051299268914562,0.9641785137656852,7.860848540477511e-10,11,128,0.01,0,4,0.1,1,Mult,TverskyLoss(),0.0550952404737472,0.0547667890787124,0.94528990983963,0.0187193179545437,0.0200264984234906,0.0608819102594595,1.0,1.0,1.0,918.6236340999604,-1.0
160,U_Net,120,120,64,0.00030474626056,1.2702006438281088e-06,0.8321559166384105,0.9795915795592136,4.591028500871793e-10,11,128,0.01,0,4,0.1,1,Mult,CrossEntropyLoss(),0.0429888479411602,0.0389164313673973,0.9873539209365844,0.0559236518114063,0.0628194898121261,0.0083079164110662,0.0171859793078684,0.0489562624254473,0.0649850894632206,1006.2450308799744,99.19032835960388
161,U_Net,120,120,64,0.000473584466033,4.849261620774094e-06,0.6132898366136582,0.969808848817936,8.572003991988404e-11,11,128,0.01,0,4,0.1,1,Mult,"DiceBCELoss(
  (bce_loss): CrossEntropyLoss()
)",0.0319367498159408,0.0294828601181507,0.9879487752914428,0.0422313710661089,0.052927103868077,0.0100724637693658,0.0161453039396045,0.0474652087475149,0.0615059642147117,1076.6205642223358,53.26683950424194
162,U_Net,120,120,64,0.0001103494464587,2.385590375819272e-05,0.9454150346409154,0.9866351019578992,3.037030116380556e-10,11,128,0.01,0,4,0.1,1,Mult,CrossEntropyLoss(),0.1054363250732421,0.1013472080230712,0.9667123556137084,0.0320123308704077,0.0365850678119744,0.0100850894459973,0.0173119982432166,0.0411903578528827,0.0702037773359841,956.5483689308168,81.92742037773132
163,U_Net,120,120,64,0.0009522985338149,8.157022874909085e-06,0.7464867040884152,0.9776889594261884,1.0144061574511312e-10,11,128,0.01,0,4,0.1,1,Mult,CrossEntropyLoss(),0.0416931323707103,0.0383087806403636,0.987741768360138,0.0655585146488481,0.0653815920160543,0.014842976424621,0.0156809857757755,0.0452907554671968,0.060946819085487,962.7453911304474,53.71899604797363
164,U_Net,120,120,64,0.0002497429292596,1.458320270858821e-05,0.6634908427248685,0.985342460158292,2.6005840927334902e-09,11,128,0.01,0,4,0.1,1,Mult,DiceLoss(),0.0545113384723663,0.0541742742061615,0.94593346118927,0.0103616870869516,0.0228187687222525,0.0350876615170168,1.0,1.0,1.0,874.2409002780914,-1.0
165,U_Net,120,120,64,8.914251834442386e-05,7.03235953523231e-05,0.9356148802376578,0.9887827475441964,5.995201595488578e-09,11,128,0.01,0,4,0.1,1,Mult,CrossEntropyLoss(),0.1091078221797943,0.1052510738372802,0.9701205492019652,0.0339662249367171,0.0346161692196658,0.014122390539319,0.0184031493741171,0.0491426441351888,0.0732480119284294,862.8497898578644,115.38167214393616
166,U_Net,120,120,64,0.0001845518643781,0.0002677494103087,0.8460067135015062,0.9981043459878628,3.7756148469412157e-10,11,128,0.01,0,4,0.1,1,Mult,IoULoss(),0.0976841896772384,0.0970685333013534,0.9461088180541992,0.0190675923282519,0.0193060333875576,0.028637600832299,1.0,1.0,1.0,855.5499963760376,-1.0
167,U_Net,120,120,64,0.0003647582871963,3.692208564980219e-05,0.7202685384761749,0.9925973376023224,2.1520386474036568e-10,11,128,0.01,0,4,0.1,1,Mult,CrossEntropyLoss(),0.0420219935476779,0.0384439937770366,0.9875695705413818,0.0616306286379282,0.0934392492517093,0.0208192120958067,0.0159453454270012,0.0488941351888668,0.0635561630218687,845.167204618454,116.86668014526369
